Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
base,4868W,0.469208138180343,0.467799402318562,0.452969121899634,0.491984476179204,0.00465178076053199,0.464556357419811,0.473859918940875,0.478449690566986,0.467799402318562,0.491984476179204,0.461800198876793,0.452969121899634,0.466567884584873
base,4859W,0.920068221356982,0.918036935482714,0.871205757071108,0.952822564333673,0.0095887621941934,0.910479459162788,0.929656983551175,0.943306797432984,0.918036935482714,0.952822564333673,0.905161497258552,0.871205757071108,0.915661591481274
base,4496W,0.975789855838158,0.9727974178952,0.927008058679404,1.03524231483044,0.0140017603126957,0.961788095525462,0.989791616150853,1.00011928565708,0.9727974178952,1.03524231483044,0.951105949332992,0.927008058679404,0.967240538172028
base,4486W,0.743216603491616,0.748022996141114,0.701219560783722,0.775539304677526,0.00937417794296956,0.733842425548647,0.752590781434586,0.756911750599541,0.748022996141114,0.775539304677526,0.728172540883199,0.701219560783722,0.747034048372521
base,4485W,3.31162248040308,3.28860710151092,3.05045209603236,3.66120596168881,0.0677907147071993,3.24383176569588,3.37941319511028,3.44565939823286,3.28860710151092,3.66120596168881,3.21802127186591,3.05045209603236,3.27567784626228
base,4484W,0.953352780235762,0.954659751185105,0.902526172254634,1.00068986180176,0.0128356611520671,0.940517119083695,0.966188441387829,0.978954744008978,0.954659751185105,1.00068986180176,0.941678547015019,0.902526172254634,0.953278339937731
base,4452W,0.568559353637079,0.567503755139389,0.545716834584775,0.587931915430455,0.00594026669134446,0.562619086945735,0.574499620328424,0.582050771570195,0.567503755139389,0.587931915430455,0.560445645278701,0.545716834584775,0.566404264936241
base,2647W,0.486833164414185,0.487407152238879,0.469644493984023,0.498717777418537,0.00384362353085943,0.482989540883325,0.490676787945044,0.494369574555786,0.487407152238879,0.498717777418537,0.483279087138657,0.469644493984023,0.485056119653925
base,2646W,0.45909249345772,0.458347060664256,0.438253522085717,0.477826843176226,0.00467128611001307,0.454421207347707,0.463763779567733,0.461369740318366,0.458347060664256,0.477826843176226,0.454517059524434,0.438253522085717,0.458221149896658
base,2639W,0.451304041956278,0.45180249048865,0.431812592444689,0.467057148629648,0.00385763194982532,0.447446410006452,0.455161673906103,0.456914135292194,0.45180249048865,0.467057148629648,0.44676487331922,0.431812592444689,0.451711586218518
base,2620W,0.34044612231321,0.341226750374781,0.332422016030745,0.35092215092115,0.00244714152244066,0.337998980790769,0.342893263835651,0.345235042125553,0.341226750374781,0.35092215092115,0.335638904227295,0.332422016030745,0.340426117182904
base,2613W,0.464177710049645,0.463704520390203,0.451605807272216,0.490988004470015,0.00442359559419899,0.459754114455446,0.468601305643844,0.469826551212873,0.463704520390203,0.490988004470015,0.457391182015156,0.451605807272216,0.46332525524325
base,2610W,0.401937862122605,0.400775985812243,0.386476059007646,0.411946520667953,0.00337947464715033,0.398558387475454,0.405317336769755,0.408509470981193,0.400775985812243,0.411946520667953,0.398783662048631,0.386476059007646,0.400765840098379
base,2608W,0.557942462868885,0.559912748705772,0.539608737824469,0.588318209526463,0.00598342908821491,0.55195903378067,0.5639258919571,0.567049266679838,0.559912748705772,0.588318209526463,0.548246927122385,0.539608737824469,0.558603534656348
base,2601W,0.562457544658441,0.561688595381455,0.548379509291386,0.587562754856026,0.00531653727376882,0.557141007384672,0.567774081932209,0.571261751383493,0.561688595381455,0.587562754856026,0.552561565280996,0.548379509291386,0.559940948732234
base,1297W,0.6582210412492,0.656893445389002,0.63577989727994,0.683272179794868,0.00607404632959903,0.652146994919601,0.664295087578799,0.666675702741842,0.656893445389002,0.683272179794868,0.651453315035735,0.63577989727994,0.654526859691203
base,1296W,1.89948271407912,1.90854228692467,1.78765837550102,1.9803443628222,0.0268092339653411,1.87267348011378,1.92629194804446,1.9456723583412,1.90854228692467,1.9803443628222,1.86265133863701,1.78765837550102,1.90698092084727
base,1295W,0.436899124092356,0.439032365973777,0.422516362395217,0.447792361870087,0.00295452534163913,0.433944598750717,0.439853649433995,0.441549339986112,0.439032365973777,0.447792361870087,0.432446245877058,0.422516362395217,0.438303527429278
base,1293W,0.42774362610536,0.42790486731477,0.418905687900606,0.443740983269363,0.0030146041727215,0.424729021932639,0.430758230278082,0.431256824958503,0.42790486731477,0.443740983269363,0.423194058477227,0.418905687900606,0.427422805137169
base,1278W,0.615337672603138,0.619671488025287,0.585509910950104,0.640021952722492,0.0066805186242697,0.608657153978868,0.622018191227408,0.62489286469891,0.619671488025287,0.640021952722492,0.60761968557703,0.585509910950104,0.617495554235114
base,1269W,1.16949420917153,1.16824490840691,1.12842676680431,1.2498570523605,0.014161635691373,1.15533257348016,1.1836558448629,1.18705477666638,1.16824490840691,1.2498570523605,1.14921391419887,1.12842676680431,1.16364714494681
base,1262W,0.675599815805188,0.673123311140829,0.65203888173466,0.703426918138587,0.00621919413688416,0.669380621668304,0.681819009942072,0.684822733824122,0.673123311140829,0.703426918138587,0.667414123340099,0.65203888173466,0.672825294093742
base,1251W,0.481425977078852,0.482216023781261,0.463738394782453,0.49907702535722,0.0051101379912593,0.476315839087593,0.486536115070112,0.491697153479229,0.482216023781261,0.49907702535722,0.473994738587568,0.463738394782453,0.47998757927859
