Scenario,Replication,1209L,1210L,1211L,1226L,1231L,1232L,1233L,1251L,1262L,1269L,1278L,1293L,1295L,1296L,1297L,2601L,2608L,2610L,2613L,2620L,2639L,2646L,2647L,4452L,4484L,4485L,4486L,4496L,4859L,4868L,SystemL,1209W,1210W,1211W,1226W,1231W,1232W,1233W,1251W,1262W,1269W,1278W,1293W,1295W,1296W,1297W,2601W,2608W,2610W,2613W,2620W,2639W,2646W,2647W,4452W,4484W,4485W,4486W,4496W,4859W,4868W
alternative10,5,1.560868459,1.535171256,1.586374721,1.963921887,1.754338234,1.828194699,1.902305897,1.824381811,1.819195271,1.872435248,1.645208938,1.592769012,1.58552203,1.9372746,1.654232287,1.754511454,1.703070283,1.604111952,1.660509239,1.741668835,1.639235454,1.628529404,1.681991899,1.719689097,1.830528871,2.239824461,1.753024346,1.836830143,1.819991773,1.657768351,52.33347992,0.421651677,0.175225251,0.310314986,0.813958978,0.737023543,0.695136763,1.407817394,0.484759886,0.677661768,1.190600594,0.603599848,0.428248667,0.446675453,1.872912467,0.641255867,0.552279032,0.547749411,0.394858327,0.464357094,0.346232759,0.457798632,0.44176743,0.487632546,0.544879154,0.967680461,3.101044253,0.715691237,0.95233904,0.923853595,0.46559374
alternative10,6,1.563401342,1.568239901,1.519770837,1.88152388,1.624315993,1.725323597,1.965376678,1.848290727,1.806804966,1.954023365,1.663790474,1.595440176,1.501917466,1.789559338,1.715899583,1.728595595,1.812569515,1.544616895,1.670364579,1.638024042,1.551080436,1.633706369,1.713606105,1.738212444,1.663623265,2.301006192,1.826547248,1.801061842,1.946621157,1.631321672,51.92463568,0.408144193,0.175867124,0.305101263,0.836496844,0.721394297,0.689899956,1.652733839,0.471402523,0.675251351,1.1976697,0.634629637,0.432443831,0.432159925,1.840236005,0.660608791,0.555187755,0.562051768,0.392605881,0.470581387,0.341551494,0.448685381,0.475843544,0.501173364,0.582375324,0.889595603,3.354688512,0.749073438,0.964471275,0.929376112,0.461556528
alternative10,7,1.497248704,1.570329326,1.552059431,1.879066005,1.620770773,1.67396017,1.721136819,1.7816646,1.756922081,1.807253731,1.721978287,1.587794029,1.574696392,1.772720873,1.831396536,1.793988991,1.723109866,1.557814888,1.597679369,1.651311511,1.632467909,1.584968774,1.693345784,1.712544916,1.720235829,1.913555466,1.724163744,1.898016226,1.822627155,1.619578015,50.9944062,0.402979599,0.178209478,0.310533577,0.830761709,0.706084211,0.656572592,1.594543619,0.481633231,0.683809287,1.163891323,0.625777426,0.425176572,0.435285235,1.905570264,0.68546851,0.584090236,0.550091597,0.388954859,0.461297462,0.342296776,0.452880359,0.445857256,0.499275537,0.5736275,0.952605829,3.008694056,0.735093938,0.984110786,0.922613526,0.468845216
alternative10,8,1.567542643,1.567111934,1.573290487,1.957710308,1.692688681,1.785087581,1.827868439,1.866862695,1.770553416,1.960432497,1.778782449,1.644769424,1.592874437,1.722709385,1.644597854,1.7563803,1.79983792,1.580715934,1.650243834,1.671827691,1.476330185,1.642321514,1.66623986,1.702152142,1.701901619,1.969156553,1.698726689,1.952565564,1.830127792,1.695360859,51.74677068,0.407565227,0.173600669,0.309515897,0.819569951,0.710049892,0.658402864,1.564578876,0.480742791,0.680478127,1.223465835,0.626193741,0.422565579,0.433958109,1.737780295,0.654577872,0.56815516,0.557425144,0.403627257,0.461918699,0.33569489,0.426013493,0.467228713,0.48164516,0.566068474,0.96916815,3.357170124,0.696109824,0.968811544,0.904357708,0.462257807
alternative10,9,1.520524571,1.501298034,1.560994198,1.95469876,1.648220894,1.814082566,1.814824178,1.857345344,1.676640716,1.894416462,1.752447546,1.605021212,1.589299493,2.046477498,1.765527216,1.730736506,1.828575046,1.629739177,1.690139111,1.676863781,1.61533552,1.565041019,1.662495675,1.741716344,1.845049175,2.235578037,1.814740312,1.873764073,1.83808929,1.665106563,52.41478832,0.418426856,0.16931319,0.304314934,0.809756314,0.733491046,0.670079071,1.515109859,0.485518592,0.64770976,1.220430606,0.612522713,0.429847146,0.430919388,1.866839296,0.659237963,0.558038791,0.569423927,0.408760959,0.471736375,0.34015947,0.453645395,0.4589937,0.507288739,0.577817413,0.97401254,3.014996973,0.744548994,0.99749091,0.933261747,0.472617528
alternative10,10,1.54381438,1.585737159,1.561461529,1.891031429,1.662184988,1.852520882,1.85701174,1.92558262,1.759590602,1.820449103,1.762895825,1.642150301,1.599233338,2.064230234,1.739911422,1.744659363,1.762214837,1.66106266,1.682797181,1.673491696,1.636031992,1.662968969,1.727761378,1.697411002,1.692312127,2.114780871,1.78777784,1.872224426,1.894721526,1.667421661,52.54544308,0.411518969,0.176149162,0.309463827,0.807234091,0.711033601,0.682025072,1.54921014,0.483193379,0.669554073,1.203726599,0.622806436,0.429217717,0.427092379,1.908176613,0.645421224,0.551315105,0.568810329,0.406650778,0.455147766,0.337961206,0.453294944,0.465878776,0.494029254,0.568494791,0.92425732,3.131945816,0.760190909,1.011381805,0.957422946,0.474346006
alternative10,11,1.596686835,1.571892144,1.62070518,1.88073745,1.633825932,1.777255578,1.867164968,1.900426671,1.71638127,1.767181263,1.661415589,1.651210356,1.596132391,1.936682909,1.808465325,1.734848292,1.837970599,1.597374825,1.63422147,1.63161541,1.662096507,1.583188329,1.675804606,1.687273242,1.815889834,2.01505734,1.693635158,1.929548985,1.797433841,1.696074242,51.97819654,0.410160024,0.176822763,0.316814573,0.792370804,0.694377009,0.688261564,1.462930284,0.495429088,0.666460613,1.151885468,0.609155083,0.429059112,0.442039457,1.95828391,0.674635705,0.566585647,0.590889922,0.404061201,0.463034388,0.344174848,0.451735476,0.470238886,0.476272022,0.572073737,1.003947891,3.175326714,0.738419506,0.987244357,0.903981664,0.471814775
alternative10,12,1.613469808,1.568102124,1.596539615,1.961190465,1.583170823,1.726713837,1.783494927,1.85544316,1.734761302,1.834343921,1.68874559,1.577060864,1.56995273,1.732302827,1.60597739,1.7246705,1.731050618,1.579106334,1.573148202,1.694388285,1.634978414,1.588936459,1.640143487,1.678877384,1.767152974,2.09378709,1.741433221,1.768443765,1.883870004,1.568437435,51.09969356,0.431664332,0.17500558,0.315008921,0.79940762,0.704239378,0.660271967,1.520465595,0.469354713,0.667019638,1.186843236,0.643443821,0.44133689,0.429413259,1.864475877,0.655604211,0.561933933,0.543250208,0.415162837,0.46410291,0.338892668,0.461799799,0.458511611,0.474139963,0.563177105,0.909301631,3.16332652,0.720373779,0.963472023,0.940668453,0.453230127
alternative10,13,1.560894826,1.584693438,1.580535113,2.00505563,1.736759563,1.851389114,1.886408025,1.894772004,1.807001517,1.802218693,1.737504767,1.659206102,1.623038605,1.940517787,1.751938344,1.794579164,1.857016153,1.606290823,1.650926655,1.700691652,1.688803977,1.716993891,1.661486702,1.832212585,1.717190774,2.11905587,1.855391509,1.969512864,1.973485707,1.724681922,53.29025378,0.41287227,0.173717077,0.309562641,0.826812949,0.711527118,0.683302808,1.52696058,0.47341507,0.6682989,1.147516609,0.612516969,0.444488452,0.447519318,1.938697313,0.665583498,0.562662329,0.55513901,0.404322329,0.459690098,0.344988631,0.466268076,0.475259793,0.490400458,0.553787847,0.968133102,3.135649988,0.745322174,1.010323235,0.899349529,0.476726247
alternative10,14,1.610204644,1.622207081,1.607142997,1.858424091,1.679081965,1.711456757,1.845929849,1.883226562,1.78119073,1.779128499,1.732868503,1.627324652,1.666294549,1.891345573,1.752306164,1.70490927,1.762228495,1.683620726,1.668337976,1.693709184,1.641359376,1.669359029,1.670907315,1.799850245,1.748907094,2.148586236,1.841902072,1.818498407,1.923700247,1.65864313,52.48265142,0.424923649,0.179461831,0.309051111,0.804608839,0.700648094,0.670446881,1.629655974,0.483998366,0.674801777,1.14980845,0.610406827,0.428739409,0.428374604,1.917766554,0.684533178,0.568478411,0.544327284,0.404196266,0.465296872,0.34239055,0.450974184,0.47120021,0.506975671,0.571178653,0.948269891,3.280414638,0.754194661,0.967822486,0.918815936,0.472430912
alternative10,15,1.5667454,1.543616336,1.580117567,1.915726665,1.703497834,1.797484573,1.76706797,1.8612422,1.700418257,1.77171755,1.762202519,1.614197378,1.550029986,1.928263019,1.688933605,1.690870871,1.775200383,1.570998517,1.587384051,1.690414981,1.665709915,1.605156478,1.718506201,1.653424549,1.716614517,2.330459319,1.808023448,1.847599805,1.835362318,1.68371629,51.9307025,0.401783574,0.175956742,0.304457833,0.80590645,0.716130009,0.683022253,1.516082829,0.477620173,0.664927733,1.172527638,0.619926929,0.432823405,0.430903165,1.887432102,0.677233591,0.551586542,0.549685313,0.390960189,0.452158274,0.339671537,0.463807393,0.469826812,0.474597251,0.567700411,0.913974534,3.319379462,0.768647374,0.937251752,0.925250881,0.482680871
